start,duration,text
292.29,4.59,"If you have a roommate that you agree to share your blender with, only one blender physically"
296.88,1.0,"exists."
297.88,3.83,"But two blender’s worth of value is being extracted from it, because you’re both using"
301.71,3.38,"it just as much as you’d use your own, dedicated blender."
305.09,4.24,"That’s essentially what’s happening with money, except that with money, we track the"
309.33,3.17,"per-person value, rather than per-blender value."
312.5,5.07,"Now, it’d be easy to argue that we can’t consider the bank to have created 10,000 credits—and"
317.57,4.78,"that’s fair, because the system wouldn’t work if it lent 10,000, because it couldn’t"
322.35,2.19,"give the original depositors their money back."
324.54,6.88,"But it does work when they give away 7,500—a 25% reserve ratio is very typical in a fractional-reserve"
331.42,4.54,"banking system—so we can at least say 7,500 was created."
335.96,3.94,"You could still argue that that 7,500 isn’t actually money since it’s eventually owed"
339.9,6.02,"back to the depositors—except that, if you trust and engage in the global financial system,"
345.92,2.57,"that’s not what you believe."
348.49,3.98,"When you receive a loan, you can take out that money in cash, and when you deposit money"
352.47,4.76,"in a bank account, you can take out that money in cash—it is very real money representing"
357.23,2.14,"very real value."
359.37,4.37,"  This is exactly why answering the question of how much money exists is so tough—there"
363.74,4.16,"are at least six different commonly-accepted definitions incorporating different combinations"
367.9,4.411,"of currency, demand deposits, traveler’s checks, time deposits, and more—and this"
372.311,4.089,"means of money creation is one of the primary activities that central banks like the Federal"
376.4,3.8,"Reserve, Bank of England, or Bank of Japan seek to administer and regulate."
380.2,3.77,"They’re in charge of telling banks how much money they have to keep in reserves, which"
383.97,4.22,"throttles how much money appears out of thin air through banks’ lending process."
388.19,4.84,"Of course, the aspect to take note of is the fact that money is created when it moves—money"
393.03,2.65,"is never created while it’s sitting still."
395.68,5.65,"So, back in 1867, when moving money was tough and banks were rudimentary, physical currency"
401.33,4.5,"still pretty well correlated to the total supply of money—most dollars were represented"
405.83,1.84,"by a physical bill or coin."
407.67,4.39,"But since then, well, things have changed."
412.06,5.08,"Abstraction helps money move—adding paper stand-ins for precious, rare minerals speeds"
417.14,3.04,"up the transportation of funds and transactions."
420.18,4.77,"Abstraction helps money grow too—as a bank’s ability to loan money provides its customers"
424.95,1.95,"the assets to then create value."
426.9,4.87,"Abstraction, however, doesn’t alone move money from one bank to the next, one town"
431.77,5.19,"to the next, one state to the next, or one country to the next like it does today—that"
436.96,2.11,"required standardization. "
439.07,3.52,"Before the Civil War there were thousands of different types of paper money backed by"
442.59,3.72,"all sorts of private and public institutions in the US."
446.31,4.89,"Say, for example, a watchmaker from Waltham, Massachusetts in 1857 went into their bank"
451.2,4.26,"to withdraw this $20 bill to buy some machinery down in Brookline."
455.46,5.36,"This isn’t the $20 bill anyone today is used to, this is a Waltham Bank $20 bill,"
460.82,4.48,"redeemable in gold at only the Waltham bank but of uncertain value to anyone outside of"
465.3,1.08,"the Waltham bank."
466.38,3.89,"Now, while the watchmaker’s not taking on the risk or inconvenience of carrying $20"
470.27,4.0,"Waltham dollars worth of gold, there’s also no guarantee that the merchant in Brookline"
474.27,3.09,"will take the note from a bank so far out of their way."
477.36,3.65,"Perhaps, because of the distance, they’ll tack on a fee for the inconvenience of cashing"
481.01,3.17,"the note and say the machinery is now $23 Waltham dollars."
484.18,4.39,"Or, perhaps the watchmaker gets lucky and they are only one of the many business relations"
488.57,3.56,"the Brookline merchant keeps in the Waltham area, then maybe the merchant will accept"
492.13,3.52,"the Waltham dollars knowing they’ll be able to use the bill in the future."
495.65,3.88,"Regardless of the fate of the Waltham watchmaker, what their predicament underscores is that"
499.53,5.24,"money, when in many different forms from many different places, was hard to move, hard to"
504.77,3.97,"transact with, and hard to transfer outside of one’s immediate community."
508.74,4.22,"All this changed with the National Currency Acts of the 1860s."
512.96,4.61,"Out went thousands of separately backed private banknotes, in came nationally chartered banks,"
517.57,5.26,"and so began a new era of money moving with a new means with which to do it: the modern"
522.83,1.17,"check."
524.0,4.96,"Under the new rules, all nationally chartered banks had to carry about 25% of their liabilities"
528.96,4.63,"in reserves—in other words, of all the money they were good for, a quarter of that needed"
533.59,2.24,"to be held in gold in the basement."
535.83,4.78,"Crucially though, the smaller banks, or country banks, could hold these reserves in the central"
540.61,2.78,"reserve cities, or the few big banks."
543.39,4.8,"Effectively, the two banks were now connected—someone could now take a check from their local bank,"
548.19,3.47,"head into the city and buy supplies, and that check could then be settled at the larger,"
551.66,4.15,"correspondent bank without any gold having to move outside the vault."
555.81,3.78,"And not only were these two banks connected, countless small banks were now all linked"
559.59,3.56,"together through that correspondent bank functioning as a hub."
563.15,4.46,"This simple connection had major consequences—it allowed a customer to move money regionally"
567.61,4.35,"without the hassle of navigating a maze of domestic exchange rates, thus stimulating"
571.96,4.49,"growth, and without the slow and risky necessity of moving actual coins or cash from bank to"
576.45,1.99,"bank, making the process quicker."
578.44,4.56," In this environment, armed with a Waltham check rather than Waltham dollars, our watchmaker"
583.0,3.68,"could pay for their supplies, the merchant could deposit the check at their Brookline"
586.68,4.33,"bank, and the Brookline bank, in turn—assuming because of their proximity, they share a correspondent"
591.01,3.63,"bank—would send the check to the correspondent which then would balance each bank’s funds"
594.64,2.3,"by moving money across the basement."
596.94,4.57,"Now, this process at the time was far from efficient, especially when banks didn’t"
601.51,1.96,"share immediate correspondent banks. "
603.47,5.03," When a check moved money between banks without a direct link, they had to find a third party"
608.5,4.68,"bank, or in some cases multiple banks, to bridge the gap and connect them with a correspondent,"
613.18,3.36,"racking up fees, delays, and postage all along the way."
616.54,5.9,"Take, for example, this check from 1898 for $43.56 which was deposited at the Second National"
622.44,4.49,"Bank of Hoboken, N.J. before Second National then sent it to Harvey Fisk & Sons, who sent"
626.93,3.69,"it to the The Globe National Bank of Boston, who sent it to the First National Bank of"
630.62,3.791,"Tonawanda, who sent it to the National Exchange Bank of Albany, who then sent it to a bank"
634.411,4.449,"in Port Jefferson, who then sent it here, who then sent it here, who then sent it here,"
638.86,4.46,"who then sent it here, who then sent it here, where it was finally drawn."
643.32,5.08,"Still, while inefficient, these early checks were a critical stepping stone in standardizing"
648.4,5.28,"and moving an increasingly abstract form of money—bank account totals denoted in dollars,"
653.68,1.0,"not gold. "
654.68,4.16,"The use of checks, and the ease of their accounting took a major step forward with the Federal"
658.84,5.35,"Reserve Act of 1913, which split the nation into 12 separate regions and tasked each regional"
664.19,4.71,"federal reserve bank with filling the role of clearing house for all regional checks."
668.9,3.78,"This centralization streamlined processing, as a bank could now credit a merchant’s"
672.68,4.05,"account and know exactly which federal reserve bank to send it to—and it also codified"
676.73,3.94,"a critically important function that would allow money to move farther, and become increasingly"
680.67,3.76,"abstract in the decades to come: rigorous accounting. "
684.43,5.75,"In the early 1900s, checks were still rather rare, and their use remained mostly regional."
690.18,1.4,"Then came the ‘50s."
691.58,4.35,"Now, Americans were making more money than ever, spending more money than ever, and had"
695.93,1.93,"more bank accounts than ever."
697.86,5.231,"From 1943 to 1952, national check use doubled from four to eight billion a year, and through"
703.091,4.719,"multistep proofing and processing, American banks were wading through some 69 million"
707.81,2.2,"checks every day."
710.01,4.32,"Banks were drowning under the pressure—branches closed at two in the afternoon to shift all"
714.33,4.61,"work to matching signatures, running the adding machine, double-checking the math, and packaging"
718.94,2.56,"the checks for shipping to the Federal Reserve."
721.5,5.48,"The work was grueling, most clerical staff at banks quit within a year, but it was absolutely"
726.98,1.109,"necessary."
728.089,3.961,"With more money passing through their hands than ever before, they had to be as accurate"
732.05,1.83,"as humanly possible. "
733.88,4.28,"Relief, though, came in the form of a computer the size of a room designed by the Stanford"
738.16,4.34,"Research Institute, funded by the Bank of America, and built by IBM."
742.5,4.56,"They called it the Electronic Recording Machine, Accounting—or ERMA—and it transformed"
747.06,1.13,"banking."
748.19,4.12,"Before ERMA, checks were processed at every bank branch, they came in all sizes, and they"
752.31,2.46,"weren’t identified by bank account numbers."
754.77,3.72,"To move the process of sorting checks to the computer, they’d need to be the same size"
758.49,3.68,"and they’d need numbers rather than names to be organized by."
762.17,3.28,"Once those standards were adopted, checks were entered into the computer, which read"
765.45,3.99,"the magnetic ink, and if the account belonged to a Bank of America branch, ERMA would access"
769.44,4.93,"the account stored in its 16-by-20 inch magnetic-drum memory, check for any account holds, make"
774.37,4.0,"sure the balance in the account was positive, draw the amount, tally the total, save the"
778.37,1.93,"new balance, and print the new record."
780.3,4.57,"Where human eyes misread, and human hands mistyped, ERMA didn’t, as the computer even"
784.87,3.55,"went so far as to check the routing number by plugging the digits into this algorithm"
788.42,2.61,"to ensure the check’s legitimacy. "
791.03,5.42,"Now the paper processing crisis that began in the 1950s was not solely a Bank of America"
796.45,1.53,"problem, it was structural."
797.98,4.62,"From monthly insurance bills to tax returns to social security checks, no matter how many"
802.6,4.29,"sorting computers were added to the system, if every transaction took the form of a flimsy"
806.89,4.85,"paper check that needed to physically pass from person to bank to Fed to bank, then the"
811.74,2.87,"paper avalanche simply couldn’t be contained."
814.61,4.77,"So payment systems went electronic, and the Automated Clearing House Network revolutionized"
819.38,3.05,"the domestic movement of money when adopted in the 1970s."
822.43,4.73,"Where thousands of checks once poured into reserve banks and private clearinghouses everyday,"
827.16,5.69,"the ACH network now allowed for direct deposits, automatic payments, and ATM transactions."
832.85,2.911,"Now someone looking to pay their insurance premium could hand over their bank account"
835.761,3.649,"information to the insurance company, the company’s bank would then create an ACH"
839.41,4.01,"entry requesting to withdraw money, the request would be processed by the ACH’s operator"
843.42,4.47,"and the money would be debited from one account and credited to the other, no check required."
847.89,5.41,"Of course, security and the ability to uphold accurate accounting were of paramount concern"
853.3,2.06,"in an era before the internet."
855.36,4.06,"Companies adopted micro-deposits as a means to verify bank accounts, federal reserve officials"
859.42,4.89,"helped form a regulatory body called NACHA, and in 1978 congress passed the Electronic"
864.31,4.11,"Fund Transfer Act to limit customer liability and protect them against wrong or fraudulent"
868.42,1.09,"charges."
869.51,2.92,"The measures successfully eased consumer fears."
872.43,6.88,"Today, the ACH Network moves over $50 trillion dollars across 23 billion transfers a year. "
879.31,6.09,"While ACH securely moves mountains of money stateside, its role ends where the US does."
885.4,3.9,"For international transfers, there’s the society for worldwide interbank financial"
889.3,4.88,"telecommunications, or SWIFT, which, like ACH, was established in the 70s to streamline"
894.18,2.99,"payments but at the international scale."
897.17,4.661,"SWIFT doesn't actually move money, but instead  provides its 11,000 member banks a secure"
901.831,3.599,"network and a standardized messaging format to send payment orders. "
905.43,5.63,"Prior to SWIFT, international transfers lacked standardization, security, and accuracy."
911.06,3.83,"So SWIFT started from scratch, organizing its member banks in a manner similar to the"
914.89,4.42,"routing number on a check, assigning each an 8 to 11 character code that denotes bank"
919.31,2.43,"name, country, location, and branch."
921.74,3.219,"The program also standardized how payments were communicated."
924.959,4.201,"They start with a bank code, but the payment instructions are outlined in an MT103 document"
929.16,3.76,"which, as they’re processed, can be tracked by the bank, and, once the transaction is"
932.92,2.229,"complete, will function as a receipt."
935.149,4.651,"Now if someone’s wiring money from the US, through, say Bank of America, to Germany through"
939.8,5.0,"Deutsche Bank, rather than actually sending money, the MT103 will tell Deutsche Bank how"
944.8,4.05,"many dollars to pull from Bank of America’s Nostro account held at Deutsche Bank, and"
948.85,3.57,"convert them to euros to be deposited into the recipient’s account."
952.42,3.54,"Like correspondent banks settling checks in the early 1900s without taking on the risk"
955.96,3.87,"of shipping gold coins in the mail, SWIFT members are able to fulfill international"
959.83,3.99,"transactions without actually moving money across oceans."
963.82,3.65,"Through its simplicity relative to programs before it, once a SWIFT transfer is initiated"
967.47,3.88,"and then communicated through SWIFTNets’ encrypted message system, a transfer is usually"
971.35,4.88,"completed within 24 to 48 hours with more complicated, multi-bank transactions accounting"
976.23,2.32,"for some transfers taking longer."
978.55,5.14,"Still, even though SWIFT functions as a member-owned cooperative and therefore doesn’t maximize"
983.69,4.42,"profit, it’s neither cheap nor easy to manage a global network capable of securely passing"
988.11,3.21,"along more than 40 million messages a day."
991.32,5.06,"This cost is felt by member banks who pay to enter SWIFT, then pay SWIFT by the message—costs"
996.38,2.72,"that add up, and costs that trickle down too."
999.1,4.96,"Today, each international transfer, beit part of everyday business or someone sending money"
1004.06,6.27,"to their family back home, usually gets tagged with a fee likely starting in the $40 range.   "
1010.33,3.93,"Considering the cost and complexity of transferring money, some have identified the opportunity"
1014.26,3.43,"of layering a simpler system on top of it."
1017.69,4.16,"Wise, for example, is one of the world’s hottest fintech startups, focusing primarily"
1021.85,4.24,"on remittances—there are loads of low to medium-income people working outside their"
1026.09,4.79,"home country who pay those huge fees to send money to their families back home—but Wise"
1030.88,4.049,"designed a system that almost entirely circumvents those intermediaries. "
1034.929,5.061,"Essentially, if someone in the US is sending $1,000 to someone in Australia, they actually"
1039.99,3.87,"transfer money into Wise’s American account, then the company instructs its Australian"
1043.86,3.54,"account to send the equivalent amount, minus fees, to the recipient."
1047.4,3.13,"They’re essentially a private-market equivalent of SWIFT."
1050.53,5.08,"It’s a dead-simple system that leads to the same end result, but with far less cost"
1055.61,1.78,"and complexity."
1057.39,1.52,"Banks can’t do this."
1058.91,4.68,"You see, if Wise messes up and sends the recipient money without debiting the sender, the company"
1063.59,1.23,"is out $1,000."
1064.82,6.07,"If a bank messes up and gives the recipient $1,000 without the sender being debited, $1,000"
1070.89,2.01,"just appeared out of nowhere."
1072.9,4.41,"So that can’t happen—it just simply can’t."
1077.31,2.21,"If it does, money breaks."
1079.52,1.02,"Our trust breaks."
1080.54,1.67,"The system breaks."
1082.21,4.9,"If money erroneously appears, outside of the contexts in which we allow it to appear, then"
1087.11,3.47,"it’s not functioning like its physical counterpart would. "
1090.58,2.71,"Money really is just a means of accounting."
1093.29,2.46,"It’s accounting for the fact that you owe me an orange."
1095.75,4.801,"But if you give me the orange and I don’t give you the fruit credit, then the system"
1100.551,1.0,"didn’t work—the accounting failed. "
1101.551,5.179,"For the modern, digital financial system to function at all, the process of transfer has"
1106.73,5.5,"to be as infallible as the process of handing a clay ball from one person to the next."
1112.23,4.06,"Simulating physicality in a digital network as vast and distributed as the global financial"
1116.29,6.12,"system is incredibly complex, considering how complex the system itself is."
1122.41,4.53,"These expensive, burdensome middlemen are the institutions that protect that simulated"
1126.94,4.3,"physicality, so without them, money is worthless. "
1131.24,4.31,"Alternatives are arising, most notably the blockchain, and central banks like the Federal"
1135.55,4.22,"Reserve are studying whether to introduce blockchain-based digital-currencies, but for"
1139.77,6.11,"now, the world still runs on money, and money’s value is all in the system’s ability to"
1145.88,1.35,"account for it."
1147.23,6.319,"Few things in the digital world are as finite as money, with one notable exception—domains."
1153.549,3.661,"There is only one wendoverproductions.com, for example."
1157.21,4.11,"That scarcity means domains have real value, and they especially have real value to you"
1161.32,3.91,"if you start a business or a YouTube channel or something where having the corresponding"
1165.23,1.98,"domain name matters."
1167.21,3.65,"Hover can help with that: they’re the domain marketplace that I’ve used to buy all of"
1170.86,4.42,"my domains, because they have fair and transparent pricing, a super-quick purchasing process,"
1175.28,2.61,"and absolutely excellent customer support."
1177.89,4.05,"Quite literally the moment we landed on Jet Lag: The Game as the name for our new channel,"
1181.94,3.01,"for example, I went on Hover and bought jetlagthegame.com."
1184.95,4.53,"And if the .com domain you want is already taken, Hover can still help because they offer"
1189.48,5.75,"over 400 unique domain extensions, allowing you to create combinations like our wendover.productions"
1195.23,1.0,"domain."
1196.23,3.56,"And to top it all off, you can set up an email using your new domain in less than a minute,"
1199.79,4.129,"allowing you to drop the @gmail or @icloud bit for something of your own."
1203.919,4.681,"All in all, Hover is just simply the best place to buy domains online and it’s made"
1208.6,2.97,"better by the fact that clicking the button on-screen or heading to Hover.com/Wendover"
1211.57,5.03,"will get you 10% off your first purchase, and help support the channel while you’re"
1216.6,0.199,"at it. "
