start,duration,text
393.08,4.17,"and this fires-together-wire-together idea comes with a couple meaningful asterisks."
397.25,4.01,"But taken as a very loose analogy, I do find it interesting to note."
401.89,4.13,"Anyway, the third way that we can help increase this neuron's activation"
406.02,3.04,"is by changing all the activations in the previous layer,"
409.56,5.41,"namely, if everything connected to that digit 2 neuron with a positive weight got brighter,"
414.97,2.99,"and if everything connected with a negative weight got dimmer,"
418.34,2.55,"then that digit 2 neuron would become more active."
422.45,3.68,"And similar to the weight changes, you're going to get the most bang for your buck"
426.13,4.42,"by seeking changes that are proportional to the size of the corresponding weights."
432.12,3.24,"Now of course, we cannot directly influence those activations,"
435.36,2.42,"we only have control over the weights and biases."
438.22,5.39,"But just as with the last layer, it's helpful to just keep a note of what those desired changes are."
444.45,5.27,"But keep in mind, zooming out one step here, this is only what that digit 2 output neuron wants."
449.72,5.12,"Remember, we also want all of the other neurons in the last layer to become less active,"
454.84,1.66,"and each of those other output neurons"
456.5,3.34,"has its own thoughts about what should happen to that second-to-last layer."
463.11,3.03,"So, the desire of this digit 2 neuron"
466.14,4.38,"is added together with the desires of all the other output neurons"
470.52,2.72,"for what should happen to this second-to-last layer."
473.58,2.82,"Again, in proportion to the corresponding weights,"
476.4,4.51,"and in proportion to how much each of those neurons needs to change."
481.48,4.03,"This right here is where the idea of propagating backwards comes in."
485.96,2.77,"By adding together all these desired effects,"
488.73,4.83,"you basically get a list of nudges that you want to happen to the second-to-last layer."
494.18,1.21,"And once you have those,"
495.39,2.46,"you can recursively apply the same process"
497.85,3.33,"to the relevant weights and biases that determine those values,"
501.18,3.96,"repeating the same process I just walked through and moving backwards through the network."
509.03,1.34,"And zooming out a bit further,"
510.37,1.55,"remember that this is all just"
511.92,5.48,"how a single training example wishes to nudge each one of those weights and biases."
517.4,2.3,"If we only listen to what that 2 wanted,"
519.7,3.7,"the network would ultimately be incentivized just to classify all images as a 2."
524.03,5.39,"So what you do is you go through this same backprop routine for every other training example,"
529.42,3.78,"recording how each of them would like to change the weights and the biases,"
533.65,2.57,"and you averaged together those desired changes."
542.05,4.89,"This collection here of the averaged nudges to each weight and bias is,"
546.94,4.97,"loosely speaking, the negative gradient of the cost function referenced in the last video,"
551.91,1.83,"or at least something proportional to it."
554.36,5.21,"I say “loosely speaking”, only because I have yet to get quantitatively precise about those nudges."
559.57,2.62,"But if you understood every change that I just referenced,"
562.19,2.58,"why some are proportionally bigger than others,"
564.77,2.39,"and how they all need to be added together,"
567.16,4.01,"you understand the mechanics for what backpropagation is actually doing."
574.05,3.35,"By the way, in practice it takes computers an extremely long time"
577.4,5.09,"to add up the influence of every single training example, every single gradient descent step."
583.01,1.95,"So here's what's commonly done instead:"
585.44,4.84,"You randomly shuffle your training data, and then divide it into a whole bunch of mini-batches,"
590.28,2.4,"let's say, each one having 100 training examples."
593.24,3.19,"Then you compute a step according to the mini-batch."
596.85,2.54,"It's not going to be the actual gradient of the cost function,"
599.39,3.24,"which depends on all of the training data, not this tiny subset."
603.1,2.54,"So it's not the most efficient step downhill."
606.08,2.89,"But each mini batch does give you a pretty good approximation,"
608.97,3.28,"and more importantly, it gives you a significant computational speed up."
612.82,3.99,"If you were to plot the trajectory of your network under the relevant cost surface,"
616.81,5.22,"it would be a little more like a drunk man stumbling aimlessly down a hill, but taking quick steps;"
622.03,5.15,"rather than a carefully calculating man determining the exact downhill direction of each step"
627.18,3.17,"before taking a very slow and careful step in that direction."
631.46,3.48,"This technique is referred to as “stochastic gradient descent”."
636.0,3.8,"There's kind of a lot going on here, so let's just sum it up for ourselves, shall we?"
640.24,2.03,"Backpropagation is the algorithm"
642.27,5.1,"for determining how a single training example would like to nudge the weights and biases,"
647.37,2.56,"not just in terms of whether they should go up or down,"
649.93,5.77,"but in terms of what relative proportions to those changes cause the most rapid decrease to the cost."
656.24,2.03,"A true gradient descent step"
658.27,3.55,"would involve doing this for all your tens and thousands of training examples"
661.82,2.44,"and averaging the desired changes that you get."
664.83,1.51,"But that's computationally slow."
666.69,3.79,"So instead you randomly subdivide the data into these mini-batches"
670.48,2.98,"and compute each step with respect to a mini-batch."
673.9,3.79,"Repeatedly going through all of the mini batches and making these adjustments,"
677.69,3.36,"you will converge towards a local minimum of the cost function,"
681.43,4.31,"which is to say, your network is going to end up doing a really good job on the training examples."
687.45,4.84,"So with all of that said, every line of code that would go into implementing backprop"
692.29,4.68,"actually corresponds with something that you have now seen, at least in informal terms."
697.57,3.39,"But sometimes knowing what the math does is only half the battle,"
700.96,3.5,"and just representing the damn thing is where it gets all muddled and confusing."
704.93,2.69,"So for those of you who do want to go deeper,"
707.62,3.05,"the next video goes through the same ideas that were just presented here"
710.67,2.08,"but in terms of the underlying calculus,"
712.75,4.01,"which should hopefully make it a little more familiar as you see the topic in other resources."
717.21,2.23,"Before that, one thing worth emphasizing is that"
719.44,4.88,"for this algorithm to work, and this goes for all sorts of machine learning beyond just neural networks,"
724.32,1.8,"you need a lot of training data."
726.43,3.43,"In our case, one thing that makes handwritten digits such a nice example"
729.86,2.25,"is that there exists the MNIST database"
732.11,3.18,"with so many examples that have been labeled by humans."
735.29,3.71,"So a common challenge that those of you working in machine learning will be familiar with"
739.0,2.93,"is just getting the labeled training data that you actually need,"
742.24,2.84,"whether that's having people label tens of thousands of images"
745.08,2.47,"or whatever other data type you might be dealing with."
