processed_text,topics
bank and the brookline bank in turn—assuming because of their proximity they share a correspondent,1
bank—would send the check to the correspondent which then would balance each bank’s funds,1
by moving money across the basement,2
now this process at the time was far from efficient especially when banks didn’t,0
share immediate correspondent banks,2
when a check moved money between banks without a direct link they had to find a third party,0
bank or in some cases multiple banks to bridge the gap and connect them with a correspondent,2
racking up fees delays and postage all along the way,0
take for example this check from 1898 for $4356 which was deposited at the second national,2
bank of hoboken nj before second national then sent it to harvey fisk & sons who sent,1
it to the the globe national bank of boston who sent it to the first national bank of,1
tonawanda who sent it to the national exchange bank of albany who then sent it to a bank,1
in port jefferson who then sent it here who then sent it here who then sent it here,1
who then sent it here who then sent it here where it was finally drawn,1
still while inefficient these early checks were a critical stepping stone in standardizing,0
and moving an increasingly abstract form of money—bank account totals denoted in dollars,2
not gold,2
the use of checks and the ease of their accounting took a major step forward with the federal,0
reserve act of 1913 which split the nation into 12 separate regions and tasked each regional,0
federal reserve bank with filling the role of clearing house for all regional checks,0
this centralization streamlined processing as a bank could now credit a merchant’s,1
account and know exactly which federal reserve bank to send it to—and it also codified,0
a critically important function that would allow money to move farther and become increasingly,2
abstract in the decades to come: rigorous accounting,0
in the early 1900s checks were still rather rare and their use remained mostly regional,0
then came the ‘50s,2
now americans were making more money than ever spending more money than ever and had,0
more bank accounts than ever,1
from 1943 to 1952 national check use doubled from four to eight billion a year and through,1
multistep proofing and processing american banks were wading through some 69 million,2
checks every day,0
banks were drowning under the pressure—branches closed at two in the afternoon to shift all,0
work to matching signatures running the adding machine double-checking the math and packaging,1
the checks for shipping to the federal reserve,0
the work was grueling most clerical staff at banks quit within a year but it was absolutely,1
necessary,0
with more money passing through their hands than ever before they had to be as accurate,1
as humanly possible,0
relief though came in the form of a computer the size of a room designed by the stanford,1
research institute funded by the bank of america and built by ibm,2
they called it the electronic recording machine accounting—or erma—and it transformed,2
banking,1
before erma checks were processed at every bank branch they came in all sizes and they,2
weren’t identified by bank account numbers,1
to move the process of sorting checks to the computer they’d need to be the same size,0
and they’d need numbers rather than names to be organized by,1
once those standards were adopted checks were entered into the computer which read,0
the magnetic ink and if the account belonged to a bank of america branch erma would access,2
the account stored in its 16-by-20 inch magnetic-drum memory check for any account holds make,2
sure the balance in the account was positive draw the amount tally the total save the,2
new balance and print the new record,1
where human eyes misread and human hands mistyped erma didn’t as the computer even,1
went so far as to check the routing number by plugging the digits into this algorithm,2
to ensure the check’s legitimacy,2
now the paper processing crisis that began in the 1950s was not solely a bank of america,2
problem it was structural,0
from monthly insurance bills to tax returns to social security checks no matter how many,2
sorting computers were added to the system if every transaction took the form of a flimsy,0
paper check that needed to physically pass from person to bank to fed to bank then the,1
paper avalanche simply couldn’t be contained,1
so payment systems went electronic and the automated clearing house network revolutionized,1
the domestic movement of money when adopted in the 1970s,0
where thousands of checks once poured into reserve banks and private clearinghouses everyday,2
the ach network now allowed for direct deposits automatic payments and atm transactions,1
now someone looking to pay their insurance premium could hand over their bank account,1
information to the insurance company the company’s bank would then create an ach,1
entry requesting to withdraw money the request would be processed by the ach’s operator,1
and the money would be debited from one account and credited to the other no check required,2
of course security and the ability to uphold accurate accounting were of paramount concern,1
in an era before the internet,1
companies adopted micro-deposits as a means to verify bank accounts federal reserve officials,0
helped form a regulatory body called nacha and in 1978 congress passed the electronic,1
fund transfer act to limit customer liability and protect them against wrong or fraudulent,0
charges,0
the measures successfully eased consumer fears,0
today the ach network moves over $50 trillion dollars across 23 billion transfers a year,1
while ach securely moves mountains of money stateside its role ends where the us does,0
for international transfers there’s the society for worldwide interbank financial,2
telecommunications or swift which like ach was established in the 70s to streamline,0
payments but at the international scale,2
swift doesn't actually move money but instead  provides its 11000 member banks a secure,0
network and a standardized messaging format to send payment orders,1
prior to swift international transfers lacked standardization security and accuracy,2
so swift started from scratch organizing its member banks in a manner similar to the,0
routing number on a check assigning each an 8 to 11 character code that denotes bank,2
name country location and branch,0
the program also standardized how payments were communicated,2
they start with a bank code but the payment instructions are outlined in an mt103 document,2
which as they’re processed can be tracked by the bank and once the transaction is,1
complete will function as a receipt,2
now if someone’s wiring money from the us through say bank of america to germany through,2
deutsche bank rather than actually sending money the mt103 will tell deutsche bank how,2
many dollars to pull from bank of america’s nostro account held at deutsche bank and,2
convert them to euros to be deposited into the recipient’s account,2
like correspondent banks settling checks in the early 1900s without taking on the risk,0
of shipping gold coins in the mail swift members are able to fulfill international,2
transactions without actually moving money across oceans,2
through its simplicity relative to programs before it once a swift transfer is initiated,0
and then communicated through swiftnets’ encrypted message system a transfer is usually,0
completed within 24 to 48 hours with more complicated multi-bank transactions accounting,2
for some transfers taking longer,1
still even though swift functions as a member-owned cooperative and therefore doesn’t maximize,0
profit it’s neither cheap nor easy to manage a global network capable of securely passing,2
along more than 40 million messages a day,0
this cost is felt by member banks who pay to enter swift then pay swift by the message—costs,0
that add up and costs that trickle down too,2
today each international transfer beit part of everyday business or someone sending money,2
to their family back home usually gets tagged with a fee likely starting in the $40 range,0
considering the cost and complexity of transferring money some have identified the opportunity,0
of layering a simpler system on top of it,0
wise for example is one of the world’s hottest fintech startups focusing primarily,0
on remittances—there are loads of low to medium-income people working outside their,2
home country who pay those huge fees to send money to their families back home—but wise,0
designed a system that almost entirely circumvents those intermediaries,1
essentially if someone in the us is sending $1000 to someone in australia they actually,2
transfer money into wise’s american account then the company instructs its australian,0
account to send the equivalent amount minus fees to the recipient,0
they’re essentially a private-market equivalent of swift,0
it’s a dead-simple system that leads to the same end result but with far less cost,1
and complexity,0
banks can’t do this,0
you see if wise messes up and sends the recipient money without debiting the sender the company,0
is out $1000,2
if a bank messes up and gives the recipient $1000 without the sender being debited $1000,2
just appeared out of nowhere,1
so that can’t happen—it just simply can’t,1
if it does money breaks,0
our trust breaks,0
the system breaks,0
if money erroneously appears outside of the contexts in which we allow it to appear then,2
it’s not functioning like its physical counterpart would,1
money really is just a means of accounting,0
it’s accounting for the fact that you owe me an orange,0
but if you give me the orange and i don’t give you the fruit credit then the system,1
didn’t work—the accounting failed,1
for the modern digital financial system to function at all the process of transfer has,2
to be as infallible as the process of handing a clay ball from one person to the next,0
simulating physicality in a digital network as vast and distributed as the global financial,2
system is incredibly complex considering how complex the system itself is,0
these expensive burdensome middlemen are the institutions that protect that simulated,0
physicality so without them money is worthless,0
alternatives are arising most notably the blockchain and central banks like the federal,0
reserve are studying whether to introduce blockchain-based digital-currencies but for,0
now the world still runs on money and money’s value is all in the system’s ability to,0
account for it,2
few things in the digital world are as finite as money with one notable exception—domains,0
there is only one wendoverproductionscom for example,2
that scarcity means domains have real value and they especially have real value to you,0
if you start a business or a youtube channel or something where having the corresponding,2
domain name matters,2
hover can help with that: they’re the domain marketplace that i’ve used to buy all of,2
my domains because they have fair and transparent pricing a super-quick purchasing process,0
and absolutely excellent customer support,0
quite literally the moment we landed on jet lag: the game as the name for our new channel,1
for example i went on hover and bought jetlagthegamecom,2
and if the com domain you want is already taken hover can still help because they offer,2
over 400 unique domain extensions allowing you to create combinations like our wendoverproductions,2
domain,2
and to top it all off you can set up an email using your new domain in less than a minute,1
allowing you to drop the @gmail or @icloud bit for something of your own,1
all in all hover is just simply the best place to buy domains online and it’s made,2
better by the fact that clicking the button on-screen or heading to hovercom/wendover,0
will get you 10% off your first purchase and help support the channel while you’re,2
at it,0
