text,topics
"growth, and without the slow and risky necessity of moving actual coins or cash from bank to",0
"bank, making the process quicker.",0
"In this environment, armed with a Waltham check rather than Waltham dollars, our watchmaker",7
"could pay for their supplies, the merchant could deposit the check at their Brookline",7
"bank, and the Brookline bank, in turn—assuming because of their proximity, they share a correspondent",8
bank—would send the check to the correspondent which then would balance each bank’s funds,8
by moving money across the basement.,9
"Now, this process at the time was far from efficient, especially when banks didn’t",5
share immediate correspondent banks.,0
"When a check moved money between banks without a direct link, they had to find a third party",8
"bank, or in some cases multiple banks, to bridge the gap and connect them with a correspondent,",3
"racking up fees, delays, and postage all along the way.",9
"Take, for example, this check from 1898 for $43.56 which was deposited at the Second National",8
"Bank of Hoboken, N.J. before Second National then sent it to Harvey Fisk & Sons, who sent",3
"it to the The Globe National Bank of Boston, who sent it to the First National Bank of",4
"Tonawanda, who sent it to the National Exchange Bank of Albany, who then sent it to a bank",8
"in Port Jefferson, who then sent it here, who then sent it here, who then sent it here,",8
"who then sent it here, who then sent it here, where it was finally drawn.",0
"Still, while inefficient, these early checks were a critical stepping stone in standardizing",5
"and moving an increasingly abstract form of money—bank account totals denoted in dollars,",3
not gold.,4
"The use of checks, and the ease of their accounting took a major step forward with the Federal",8
"Reserve Act of 1913, which split the nation into 12 separate regions and tasked each regional",4
federal reserve bank with filling the role of clearing house for all regional checks.,8
"This centralization streamlined processing, as a bank could now credit a merchant’s",0
account and know exactly which federal reserve bank to send it to—and it also codified,8
"a critically important function that would allow money to move farther, and become increasingly",0
abstract in the decades to come: rigorous accounting.,0
"In the early 1900s, checks were still rather rare, and their use remained mostly regional.",0
Then came the ‘50s.,0
"Now, Americans were making more money than ever, spending more money than ever, and had",8
more bank accounts than ever.,3
"From 1943 to 1952, national check use doubled from four to eight billion a year, and through",8
"multistep proofing and processing, American banks were wading through some 69 million",8
checks every day.,7
Banks were drowning under the pressure—branches closed at two in the afternoon to shift all,8
"work to matching signatures, running the adding machine, double-checking the math, and packaging",0
the checks for shipping to the Federal Reserve.,4
"The work was grueling, most clerical staff at banks quit within a year, but it was absolutely",5
necessary.,9
"With more money passing through their hands than ever before, they had to be as accurate",8
as humanly possible.,8
"Relief, though, came in the form of a computer the size of a room designed by the Stanford",7
"Research Institute, funded by the Bank of America, and built by IBM.",8
"They called it the Electronic Recording Machine, Accounting—or ERMA—and it transformed",0
banking.,8
"Before ERMA, checks were processed at every bank branch, they came in all sizes, and they",5
weren’t identified by bank account numbers.,3
"To move the process of sorting checks to the computer, they’d need to be the same size",2
and they’d need numbers rather than names to be organized by.,4
"Once those standards were adopted, checks were entered into the computer, which read",8
"the magnetic ink, and if the account belonged to a Bank of America branch, ERMA would access",0
"the account stored in its 16-by-20 inch magnetic-drum memory, check for any account holds, make",0
"sure the balance in the account was positive, draw the amount, tally the total, save the",0
"new balance, and print the new record.",4
"Where human eyes misread, and human hands mistyped, ERMA didn’t, as the computer even",8
went so far as to check the routing number by plugging the digits into this algorithm,0
to ensure the check’s legitimacy.,8
Now the paper processing crisis that began in the 1950s was not solely a Bank of America,3
"problem, it was structural.",0
"From monthly insurance bills to tax returns to social security checks, no matter how many",6
"sorting computers were added to the system, if every transaction took the form of a flimsy",4
"paper check that needed to physically pass from person to bank to Fed to bank, then the",3
paper avalanche simply couldn’t be contained.,2
"So payment systems went electronic, and the Automated Clearing House Network revolutionized",8
the domestic movement of money when adopted in the 1970s.,5
"Where thousands of checks once poured into reserve banks and private clearinghouses everyday,",4
"the ACH network now allowed for direct deposits, automatic payments, and ATM transactions.",8
Now someone looking to pay their insurance premium could hand over their bank account,6
"information to the insurance company, the company’s bank would then create an ACH",8
"entry requesting to withdraw money, the request would be processed by the ACH’s operator",0
"and the money would be debited from one account and credited to the other, no check required.",8
"Of course, security and the ability to uphold accurate accounting were of paramount concern",0
in an era before the internet.,2
"Companies adopted micro-deposits as a means to verify bank accounts, federal reserve officials",8
"helped form a regulatory body called NACHA, and in 1978 congress passed the Electronic",8
Fund Transfer Act to limit customer liability and protect them against wrong or fraudulent,8
charges.,0
The measures successfully eased consumer fears.,6
"Today, the ACH Network moves over $50 trillion dollars across 23 billion transfers a year.",8
"While ACH securely moves mountains of money stateside, its role ends where the US does.",0
"For international transfers, there’s the society for worldwide interbank financial",3
"telecommunications, or SWIFT, which, like ACH, was established in the 70s to streamline",0
payments but at the international scale.,6
"SWIFT doesn't actually move money, but instead  provides its 11,000 member banks a secure",3
network and a standardized messaging format to send payment orders.,8
"Prior to SWIFT, international transfers lacked standardization, security, and accuracy.",8
"So SWIFT started from scratch, organizing its member banks in a manner similar to the",0
"routing number on a check, assigning each an 8 to 11 character code that denotes bank",3
"name, country, location, and branch.",5
The program also standardized how payments were communicated.,8
"They start with a bank code, but the payment instructions are outlined in an MT103 document",6
"which, as they’re processed, can be tracked by the bank, and, once the transaction is",8
"complete, will function as a receipt.",8
"Now if someone’s wiring money from the US, through, say Bank of America, to Germany through",8
"Deutsche Bank, rather than actually sending money, the MT103 will tell Deutsche Bank how",3
"many dollars to pull from Bank of America’s Nostro account held at Deutsche Bank, and",3
convert them to euros to be deposited into the recipient’s account.,5
Like correspondent banks settling checks in the early 1900s without taking on the risk,8
"of shipping gold coins in the mail, SWIFT members are able to fulfill international",8
transactions without actually moving money across oceans.,4
"Through its simplicity relative to programs before it, once a SWIFT transfer is initiated",3
"and then communicated through SWIFTNets’ encrypted message system, a transfer is usually",8
"completed within 24 to 48 hours with more complicated, multi-bank transactions accounting",8
for some transfers taking longer.,0
"Still, even though SWIFT functions as a member-owned cooperative and therefore doesn’t maximize",7
"profit, it’s neither cheap nor easy to manage a global network capable of securely passing",0
along more than 40 million messages a day.,8
"This cost is felt by member banks who pay to enter SWIFT, then pay SWIFT by the message—costs",8
"that add up, and costs that trickle down too.",7
"Today, each international transfer, beit part of everyday business or someone sending money",4
"to their family back home, usually gets tagged with a fee likely starting in the $40 range.",7
"Considering the cost and complexity of transferring money, some have identified the opportunity",6
of layering a simpler system on top of it.,9
"Wise, for example, is one of the world’s hottest fintech startups, focusing primarily",7
on remittances—there are loads of low to medium-income people working outside their,0
home country who pay those huge fees to send money to their families back home—but Wise,7
designed a system that almost entirely circumvents those intermediaries.,3
"Essentially, if someone in the US is sending $1,000 to someone in Australia, they actually",6
"transfer money into Wise’s American account, then the company instructs its Australian",6
"account to send the equivalent amount, minus fees, to the recipient.",9
They’re essentially a private-market equivalent of SWIFT.,8
"It’s a dead-simple system that leads to the same end result, but with far less cost",8
and complexity.,4
Banks can’t do this.,3
"You see, if Wise messes up and sends the recipient money without debiting the sender, the company",6
"is out $1,000.",0
"If a bank messes up and gives the recipient $1,000 without the sender being debited, $1,000",6
just appeared out of nowhere.,5
So that can’t happen—it just simply can’t.,3
"If it does, money breaks.",6
Our trust breaks.,3
The system breaks.,1
"If money erroneously appears, outside of the contexts in which we allow it to appear, then",0
it’s not functioning like its physical counterpart would.,1
Money really is just a means of accounting.,0
It’s accounting for the fact that you owe me an orange.,9
"But if you give me the orange and I don’t give you the fruit credit, then the system",9
didn’t work—the accounting failed.,0
"For the modern, digital financial system to function at all, the process of transfer has",4
to be as infallible as the process of handing a clay ball from one person to the next.,9
Simulating physicality in a digital network as vast and distributed as the global financial,8
"system is incredibly complex, considering how complex the system itself is.",4
"These expensive, burdensome middlemen are the institutions that protect that simulated",0
"physicality, so without them, money is worthless.",6
"Alternatives are arising, most notably the blockchain, and central banks like the Federal",8
"Reserve are studying whether to introduce blockchain-based digital-currencies, but for",6
"now, the world still runs on money, and money’s value is all in the system’s ability to",8
account for it.,0
"Few things in the digital world are as finite as money, with one notable exception—domains.",0
"There is only one wendoverproductions.com, for example.",6
"That scarcity means domains have real value, and they especially have real value to you",0
if you start a business or a YouTube channel or something where having the corresponding,9
domain name matters.,7
Hover can help with that: they’re the domain marketplace that I’ve used to buy all of,7
"my domains, because they have fair and transparent pricing, a super-quick purchasing process,",5
and absolutely excellent customer support.,0
"Quite literally the moment we landed on Jet Lag: The Game as the name for our new channel,",0
"for example, I went on Hover and bought jetlagthegame.com.",3
"And if the .com domain you want is already taken, Hover can still help because they offer",7
"over 400 unique domain extensions, allowing you to create combinations like our wendover.productions",7
domain.,7
"And to top it all off, you can set up an email using your new domain in less than a minute,",7
allowing you to drop the @gmail or @icloud bit for something of your own.,5
"All in all, Hover is just simply the best place to buy domains online and it’s made",7
better by the fact that clicking the button on-screen or heading to Hover.com/Wendover,7
"will get you 10% off your first purchase, and help support the channel while you’re",3
at it.,0
