text,topics
"The moment that loan goes out, new money has appeared.",0
"The original depositors still have their 100,000 credits, because with the way the fractional-reserve",0
"banking system works, they can all, on an individual level, withdraw their 10,000.",0
"But simultaneously, the watermelon farmer has 7,500 very real credits.",0
"If you have a roommate that you agree to share your blender with, only one blender physically",1
exists.,0
"But two blender’s worth of value is being extracted from it, because you’re both using",1
"it just as much as you’d use your own, dedicated blender.",2
"That’s essentially what’s happening with money, except that with money, we track the",0
"per-person value, rather than per-blender value.",0
"Now, it’d be easy to argue that we can’t consider the bank to have created 10,000 credits—and",0
"that’s fair, because the system wouldn’t work if it lent 10,000, because it couldn’t",0
give the original depositors their money back.,0
"But it does work when they give away 7,500—a 25% reserve ratio is very typical in a fractional-reserve",0
"banking system—so we can at least say 7,500 was created.",0
"You could still argue that that 7,500 isn’t actually money since it’s eventually owed",0
"back to the depositors—except that, if you trust and engage in the global financial system,",0
that’s not what you believe.,0
"When you receive a loan, you can take out that money in cash, and when you deposit money",0
"in a bank account, you can take out that money in cash—it is very real money representing",0
very real value.,0
This is exactly why answering the question of how much money exists is so tough—there,0
are at least six different commonly-accepted definitions incorporating different combinations,1
"of currency, demand deposits, traveler’s checks, time deposits, and more—and this",0
means of money creation is one of the primary activities that central banks like the Federal,0
"Reserve, Bank of England, or Bank of Japan seek to administer and regulate.",0
"They’re in charge of telling banks how much money they have to keep in reserves, which",0
throttles how much money appears out of thin air through banks’ lending process.,0
"Of course, the aspect to take note of is the fact that money is created when it moves—money",0
is never created while it’s sitting still.,1
"So, back in 1867, when moving money was tough and banks were rudimentary, physical currency",0
still pretty well correlated to the total supply of money—most dollars were represented,0
by a physical bill or coin.,1
"But since then, well, things have changed.",0
"Abstraction helps money move—adding paper stand-ins for precious, rare minerals speeds",0
up the transportation of funds and transactions.,0
Abstraction helps money grow too—as a bank’s ability to loan money provides its customers,0
the assets to then create value.,0
"Abstraction, however, doesn’t alone move money from one bank to the next, one town",0
"to the next, one state to the next, or one country to the next like it does today—that",0
required standardization.,0
Before the Civil War there were thousands of different types of paper money backed by,0
all sorts of private and public institutions in the US.,0
"Say, for example, a watchmaker from Waltham, Massachusetts in 1857 went into their bank",0
to withdraw this $20 bill to buy some machinery down in Brookline.,1
"This isn’t the $20 bill anyone today is used to, this is a Waltham Bank $20 bill,",0
redeemable in gold at only the Waltham bank but of uncertain value to anyone outside of,1
the Waltham bank.,0
"Now, while the watchmaker’s not taking on the risk or inconvenience of carrying $20",0
"Waltham dollars worth of gold, there’s also no guarantee that the merchant in Brookline",0
will take the note from a bank so far out of their way.,0
"Perhaps, because of the distance, they’ll tack on a fee for the inconvenience of cashing",0
the note and say the machinery is now $23 Waltham dollars.,1
"Or, perhaps the watchmaker gets lucky and they are only one of the many business relations",0
"the Brookline merchant keeps in the Waltham area, then maybe the merchant will accept",2
the Waltham dollars knowing they’ll be able to use the bill in the future.,0
"Regardless of the fate of the Waltham watchmaker, what their predicament underscores is that",0
"money, when in many different forms from many different places, was hard to move, hard to",0
"transact with, and hard to transfer outside of one’s immediate community.",0
All this changed with the National Currency Acts of the 1860s.,0
"Out went thousands of separately backed private banknotes, in came nationally chartered banks,",0
and so began a new era of money moving with a new means with which to do it: the modern,0
check.,0
"Under the new rules, all nationally chartered banks had to carry about 25% of their liabilities",0
"in reserves—in other words, of all the money they were good for, a quarter of that needed",0
to be held in gold in the basement.,1
"Crucially though, the smaller banks, or country banks, could hold these reserves in the central",0
"reserve cities, or the few big banks.",0
"Effectively, the two banks were now connected—someone could now take a check from their local bank,",0
"head into the city and buy supplies, and that check could then be settled at the larger,",1
correspondent bank without any gold having to move outside the vault.,0
"And not only were these two banks connected, countless small banks were now all linked",0
together through that correspondent bank functioning as a hub.,0
This simple connection had major consequences—it allowed a customer to move money regionally,0
"without the hassle of navigating a maze of domestic exchange rates, thus stimulating",0
"growth, and without the slow and risky necessity of moving actual coins or cash from bank to",0
"bank, making the process quicker.",0
"In this environment, armed with a Waltham check rather than Waltham dollars, our watchmaker",0
"could pay for their supplies, the merchant could deposit the check at their Brookline",0
"bank, and the Brookline bank, in turn—assuming because of their proximity, they share a correspondent",0
bank—would send the check to the correspondent which then would balance each bank’s funds,0
by moving money across the basement.,2
"Now, this process at the time was far from efficient, especially when banks didn’t",0
share immediate correspondent banks.,0
"When a check moved money between banks without a direct link, they had to find a third party",0
"bank, or in some cases multiple banks, to bridge the gap and connect them with a correspondent,",0
"racking up fees, delays, and postage all along the way.",0
"Take, for example, this check from 1898 for $43.56 which was deposited at the Second National",0
"Bank of Hoboken, N.J. before Second National then sent it to Harvey Fisk & Sons, who sent",0
"it to the The Globe National Bank of Boston, who sent it to the First National Bank of",0
"Tonawanda, who sent it to the National Exchange Bank of Albany, who then sent it to a bank",0
"in Port Jefferson, who then sent it here, who then sent it here, who then sent it here,",2
"who then sent it here, who then sent it here, where it was finally drawn.",0
"Still, while inefficient, these early checks were a critical stepping stone in standardizing",1
"and moving an increasingly abstract form of money—bank account totals denoted in dollars,",0
not gold.,1
"The use of checks, and the ease of their accounting took a major step forward with the Federal",0
"Reserve Act of 1913, which split the nation into 12 separate regions and tasked each regional",0
federal reserve bank with filling the role of clearing house for all regional checks.,0
"This centralization streamlined processing, as a bank could now credit a merchant’s",0
account and know exactly which federal reserve bank to send it to—and it also codified,0
"a critically important function that would allow money to move farther, and become increasingly",0
abstract in the decades to come: rigorous accounting.,1
"In the early 1900s, checks were still rather rare, and their use remained mostly regional.",0
Then came the ‘50s.,0
"Now, Americans were making more money than ever, spending more money than ever, and had",0
more bank accounts than ever.,0
"From 1943 to 1952, national check use doubled from four to eight billion a year, and through",0
"multistep proofing and processing, American banks were wading through some 69 million",0
checks every day.,0
Banks were drowning under the pressure—branches closed at two in the afternoon to shift all,0
"work to matching signatures, running the adding machine, double-checking the math, and packaging",0
the checks for shipping to the Federal Reserve.,0
"The work was grueling, most clerical staff at banks quit within a year, but it was absolutely",0
necessary.,0
"With more money passing through their hands than ever before, they had to be as accurate",0
as humanly possible.,2
"Relief, though, came in the form of a computer the size of a room designed by the Stanford",2
"Research Institute, funded by the Bank of America, and built by IBM.",0
"They called it the Electronic Recording Machine, Accounting—or ERMA—and it transformed",1
banking.,0
"Before ERMA, checks were processed at every bank branch, they came in all sizes, and they",0
weren’t identified by bank account numbers.,0
"To move the process of sorting checks to the computer, they’d need to be the same size",0
and they’d need numbers rather than names to be organized by.,0
"Once those standards were adopted, checks were entered into the computer, which read",0
"the magnetic ink, and if the account belonged to a Bank of America branch, ERMA would access",0
"the account stored in its 16-by-20 inch magnetic-drum memory, check for any account holds, make",1
"sure the balance in the account was positive, draw the amount, tally the total, save the",0
"new balance, and print the new record.",1
"Where human eyes misread, and human hands mistyped, ERMA didn’t, as the computer even",1
went so far as to check the routing number by plugging the digits into this algorithm,1
to ensure the check’s legitimacy.,0
Now the paper processing crisis that began in the 1950s was not solely a Bank of America,0
"problem, it was structural.",0
"From monthly insurance bills to tax returns to social security checks, no matter how many",0
"sorting computers were added to the system, if every transaction took the form of a flimsy",0
"paper check that needed to physically pass from person to bank to Fed to bank, then the",0
paper avalanche simply couldn’t be contained.,1
"So payment systems went electronic, and the Automated Clearing House Network revolutionized",0
the domestic movement of money when adopted in the 1970s.,0
"Where thousands of checks once poured into reserve banks and private clearinghouses everyday,",0
"the ACH network now allowed for direct deposits, automatic payments, and ATM transactions.",0
Now someone looking to pay their insurance premium could hand over their bank account,0
"information to the insurance company, the company’s bank would then create an ACH",0
"entry requesting to withdraw money, the request would be processed by the ACH’s operator",0
"and the money would be debited from one account and credited to the other, no check required.",0
"Of course, security and the ability to uphold accurate accounting were of paramount concern",0
in an era before the internet.,0
"Companies adopted micro-deposits as a means to verify bank accounts, federal reserve officials",0
"helped form a regulatory body called NACHA, and in 1978 congress passed the Electronic",0
Fund Transfer Act to limit customer liability and protect them against wrong or fraudulent,0
charges.,0
The measures successfully eased consumer fears.,0
"Today, the ACH Network moves over $50 trillion dollars across 23 billion transfers a year.",0
"While ACH securely moves mountains of money stateside, its role ends where the US does.",0
"For international transfers, there’s the society for worldwide interbank financial",0
"telecommunications, or SWIFT, which, like ACH, was established in the 70s to streamline",0
payments but at the international scale.,0
"SWIFT doesn't actually move money, but instead  provides its 11,000 member banks a secure",0
network and a standardized messaging format to send payment orders.,0
"Prior to SWIFT, international transfers lacked standardization, security, and accuracy.",0
"So SWIFT started from scratch, organizing its member banks in a manner similar to the",0
"routing number on a check, assigning each an 8 to 11 character code that denotes bank",0
"name, country, location, and branch.",0
The program also standardized how payments were communicated.,0
"They start with a bank code, but the payment instructions are outlined in an MT103 document",0
"which, as they’re processed, can be tracked by the bank, and, once the transaction is",0
"complete, will function as a receipt.",1
"Now if someone’s wiring money from the US, through, say Bank of America, to Germany through",0
"Deutsche Bank, rather than actually sending money, the MT103 will tell Deutsche Bank how",0
"many dollars to pull from Bank of America’s Nostro account held at Deutsche Bank, and",0
convert them to euros to be deposited into the recipient’s account.,0
Like correspondent banks settling checks in the early 1900s without taking on the risk,0
"of shipping gold coins in the mail, SWIFT members are able to fulfill international",0
transactions without actually moving money across oceans.,0
"Through its simplicity relative to programs before it, once a SWIFT transfer is initiated",0
"and then communicated through SWIFTNets’ encrypted message system, a transfer is usually",1
"completed within 24 to 48 hours with more complicated, multi-bank transactions accounting",0
for some transfers taking longer.,0
"Still, even though SWIFT functions as a member-owned cooperative and therefore doesn’t maximize",0
"profit, it’s neither cheap nor easy to manage a global network capable of securely passing",0
along more than 40 million messages a day.,0
"This cost is felt by member banks who pay to enter SWIFT, then pay SWIFT by the message—costs",0
"that add up, and costs that trickle down too.",0
"Today, each international transfer, beit part of everyday business or someone sending money",0
"to their family back home, usually gets tagged with a fee likely starting in the $40 range.",2
"Considering the cost and complexity of transferring money, some have identified the opportunity",0
of layering a simpler system on top of it.,1
"Wise, for example, is one of the world’s hottest fintech startups, focusing primarily",2
on remittances—there are loads of low to medium-income people working outside their,0
home country who pay those huge fees to send money to their families back home—but Wise,2
designed a system that almost entirely circumvents those intermediaries.,0
"Essentially, if someone in the US is sending $1,000 to someone in Australia, they actually",2
"transfer money into Wise’s American account, then the company instructs its Australian",0
"account to send the equivalent amount, minus fees, to the recipient.",0
They’re essentially a private-market equivalent of SWIFT.,0
"It’s a dead-simple system that leads to the same end result, but with far less cost",0
and complexity.,0
Banks can’t do this.,0
"You see, if Wise messes up and sends the recipient money without debiting the sender, the company",0
"is out $1,000.",0
"If a bank messes up and gives the recipient $1,000 without the sender being debited, $1,000",0
just appeared out of nowhere.,0
So that can’t happen—it just simply can’t.,2
"If it does, money breaks.",0
Our trust breaks.,0
The system breaks.,2
"If money erroneously appears, outside of the contexts in which we allow it to appear, then",0
it’s not functioning like its physical counterpart would.,2
Money really is just a means of accounting.,0
It’s accounting for the fact that you owe me an orange.,0
"But if you give me the orange and I don’t give you the fruit credit, then the system",1
didn’t work—the accounting failed.,0
"For the modern, digital financial system to function at all, the process of transfer has",0
to be as infallible as the process of handing a clay ball from one person to the next.,2
Simulating physicality in a digital network as vast and distributed as the global financial,0
"system is incredibly complex, considering how complex the system itself is.",1
"These expensive, burdensome middlemen are the institutions that protect that simulated",0
"physicality, so without them, money is worthless.",0
"Alternatives are arising, most notably the blockchain, and central banks like the Federal",0
"Reserve are studying whether to introduce blockchain-based digital-currencies, but for",0
"now, the world still runs on money, and money’s value is all in the system’s ability to",0
account for it.,0
"Few things in the digital world are as finite as money, with one notable exception—domains.",0
"There is only one wendoverproductions.com, for example.",0
"That scarcity means domains have real value, and they especially have real value to you",0
if you start a business or a YouTube channel or something where having the corresponding,1
domain name matters.,0
Hover can help with that: they’re the domain marketplace that I’ve used to buy all of,0
"my domains, because they have fair and transparent pricing, a super-quick purchasing process,",0
and absolutely excellent customer support.,0
"Quite literally the moment we landed on Jet Lag: The Game as the name for our new channel,",1
"for example, I went on Hover and bought jetlagthegame.com.",0
"And if the .com domain you want is already taken, Hover can still help because they offer",0
"over 400 unique domain extensions, allowing you to create combinations like our wendover.productions",0
domain.,0
"And to top it all off, you can set up an email using your new domain in less than a minute,",2
allowing you to drop the @gmail or @icloud bit for something of your own.,2
"All in all, Hover is just simply the best place to buy domains online and it’s made",1
better by the fact that clicking the button on-screen or heading to Hover.com/Wendover,2
"will get you 10% off your first purchase, and help support the channel while you’re",0
at it.,0
